Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
8/29/2018;Bet365;Mr Henryk;Volleyball;Simple;Brazil -2.5 sets;1.72;200;344;144;Gagne
8/29/2018;188Bet;Blink18222;Football;Simple;Ajax 0;1.72;250;0;0;Rembourse
8/29/2018;Betway;Marcip;Football;Simple;Oran -0.25;1.7;250;-125;-125;Moitie perdu
8/29/2018;Bet365;Jorge_Javier;Tennis;Simple;Cibulkova;2.3;200;460;260;Gagne
8/29/2018;Asianodds;Seifer;Football;Simple;Dundalk 0;1.92;250;-250;-250;Perdu
8/29/2018;Asianodds;Zigfrid;Football;Simple;Mansfield +1.25;1.77;600;831;231;Moitie gagne
8/29/2018;Asianodds;Mr Betting;Football;Simple;Santos;1.89;300;0;0;Annule
8/29/2018;Asianodds;Brucinger;Football;Simple;X : Orgryte - GAIS;3.69;300;-300;-300;Perdu
8/29/2018;Asianodds;Zigfrid;Football;Simple;Leicester -2;2.01;600;1206;606;Gagne
8/29/2018;Asianodds;Zigfrid;Football;Simple;fulham -1.75;1.81;600;843;243;Moitie gagne
8/29/2018;Betway;Ludo;Football;Simple;koln -1.75;1.86;262;-262;-262;Perdu
8/29/2018;Asianodds;Brucinger;Football;Simple;Over 2.5 : Belouizdad U21;2.07;300;-300;-300;Perdu
8/29/2018;Asianodds;Brucinger;Football;Simple;Over 2 : Kiffen;2.44;300;-300;-300;Perdu
8/29/2018;Pinnacle;Zigfrid;Football;Simple;West Ham -1;1.781;600;1068.6;468.6;Gagne
8/29/2018;Pinnacle;Norskii;Football;Simple;Sogndal 0;1.84;300;-300;-300;Perdu
8/28/2018;Betway;NINIBET;Basketball;Simple;Hradec +14.5 (un peu Mbet);1.8;256;-256;-256;Perdu
8/28/2018;MarathonBet;Atlantic Puffin;Football;Simple;Elfsborg U21 HT;1.79;300;537;237;Gagne
8/28/2018;Pinnacle;BetVolley;Volleyball;Simple;Chile +2.5 sets;2.15;385;827.75;442.75;Gagne
8/28/2018;Asianodds;Brucinger;Football;Simple;Under 3.25 : Fulham;1.95;300;585;285;Gagne
8/28/2018;Asianodds;Autre Tipster;Football;Simple;Manchester United - Tottenham Hotspur Full Event Draw;3.37;300;-300;-300;Perdu
8/28/2018;Pinnacle;Anonim31;Basketball;Simple;Atlanta Dream W;2.13;150;319.5;169.5;Gagne
8/28/2018;MarathonBet;Cheser;Football;Simple;felda over 2;1.84;400;-400;-400;Perdu
8/28/2018;Pinnacle;Jorge_Javier;Tennis;Simple;vondrousova;1.9;300;570;270;Gagne
8/28/2018;Bet365;Jorge_Javier;Tennis;Simple;vondrousova 2-0;3;100;300;200;Gagne
